,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
1189,2010,Natural,Hydrological,Flood,Flash flood,"Leh, Cholglamsar villages (72785 district, Jammu and Kashmir province)",Heavy rains,,145000.0,33.53,76.12,,2010,8.0,6.0,2010,8.0,8.0,196.0,12725.0,,85.2920606019027
1190,2010,Natural,Hydrological,Flood,Riverine flood,"Almora, Naini Tal districts (Uttarakhand province), Bihar, Uttar Pradesh provinces",Monsoonal rains,,38537.0,26.73,82.84,,2010,9.0,18.0,2010,9.0,30.0,200.0,3267183.0,1680000.0,85.2920606019027
1191,2010,Natural,Meteorological,Storm,Convective storm,"Nawabganj town (Gonda district, Uttar Pradesh province), Allahabad, Unnao districts (Uttar Pradesh province)",,,,,,,2010,5.0,24.0,2010,5.0,24.0,12.0,2030.0,,85.2920606019027
1192,2010,Natural,Meteorological,Storm,Tropical cyclone,"Krishna, Prakasam, Nellore, Guntur districts (Andhra Pradesh province), Tamil Nadu province",,,110.0,,,,2010,5.0,20.0,2010,5.0,20.0,32.0,,,85.2920606019027
1193,2010,Natural,Meteorological,Storm,Convective storm,"Uttar Pradesh, Bihar provinces",,,,,,,2010,5.0,6.0,2010,5.0,8.0,54.0,50.0,,85.2920606019027
1194,2010,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh province,,,100.0,,,,2010,10.0,31.0,2010,11.0,3.0,22.0,,,85.2920606019027
1195,2010,Natural,Meteorological,Storm,Convective storm,"Mushalpur, Baksa towns (Nalbari district, Assam province)",,,,,,,2010,4.0,10.0,2010,4.0,10.0,28.0,5000.0,,85.2920606019027
1196,2010,Natural,Meteorological,Storm,Convective storm,"Bihar, Jharkhand provinces",,,,,,,2010,8.0,25.0,2010,8.0,25.0,25.0,,,85.2920606019027
1197,2010,Natural,Hydrological,Flood,Riverine flood,"Ambala, Kurukshetra districts (Haryana province), Punjab, Kerala provinces",Monsoonal rains,,147437.0,30.18,74.77,,2010,7.0,5.0,2010,7.0,15.0,53.0,400000.0,447000.0,85.2920606019027
1198,2010,Natural,Hydrological,Flood,Riverine flood,Andhra Pradesh province,,,63170.0,15.22,79.48,,2010,5.0,18.0,2010,5.0,24.0,27.0,50000.0,,85.2920606019027
1199,2010,Natural,Hydrological,Flood,Riverine flood,Delhi province,Heavy rains,,,,,,2010,7.0,13.0,2010,7.0,13.0,11.0,,,85.2920606019027
1200,2010,Natural,Hydrological,Flood,Riverine flood,Lakhimpur district (Assam province),Monsoonal rain,,12555.0,26.235,92.25,,2010,9.0,5.0,2010,9.0,17.0,,30000.0,,85.2920606019027
1201,2010,Natural,Hydrological,Flood,Riverine flood,"Punjab, Haryana, Uttar Pradesh provinces",Monsoonal rains,,10843.0,25.965,76.05,,2010,9.0,9.0,2010,9.0,9.0,,12500.0,,85.2920606019027
1202,2010,Natural,Hydrological,Flood,Riverine flood,"Chennai, Cuddalore, Nagapattinam, Pudukottai, Ramanthapuram, Thanjavur, Thiruvallur, Villupuram, Thoothukudi, Tirunelveli Kattabo districts (Tamil Nadu province)",Monsoonal rain,,57474.0,9.88,78.47,,2010,11.0,15.0,2010,12.0,7.0,203.0,,22000.0,85.2920606019027
1203,2010,Natural,Hydrological,Landslide,Avalanche,Administrative unit not available district (Jammu and Kashmir province),,,,,,,2010,2.0,8.0,2010,2.0,8.0,17.0,,,85.2920606019027
1204,2010,Natural,Meteorological,Storm,Tropical cyclone,"Bihar, West Bengal, Assam provinces",,,,,,,2010,4.0,13.0,2010,4.0,14.0,114.0,500000.0,,85.2920606019027
1205,2010,Natural,Meteorological,Extreme temperature,Heat wave,"Delhi, Haryana, Madhya Pradesh, Orissa, Rajasthan, Uttar Pradesh provinces",,,49.0,,,,2010,3.0,,2010,5.0,,250.0,,,85.2920606019027
1206,2010,Technological,Technological,Transport accident,Air,Mangalore,,,,,,,2010,5.0,22.0,2010,5.0,22.0,158.0,8.0,,85.2920606019027
1207,2010,Technological,Technological,Transport accident,Road,Godavari river (Andhra Pradesh state),,,,,,,2010,1.0,30.0,2010,1.0,30.0,32.0,,,85.2920606019027
1208,2010,Technological,Technological,Transport accident,Road,Near Bangalore,,,,,,,2010,5.0,29.0,2010,5.0,29.0,30.0,30.0,,85.2920606019027
1209,2010,Technological,Technological,Transport accident,Road,Jharkhand,,,,,,,2010,6.0,9.0,2010,6.0,9.0,21.0,20.0,,85.2920606019027
1210,2010,Technological,Technological,Transport accident,Road,Dhanarua (Bihar state),,,,,,,2010,6.0,26.0,2010,6.0,26.0,24.0,50.0,,85.2920606019027
1211,2010,Technological,Technological,Transport accident,Road,Kishtiwar district (Cachemire),,,,,,,2010,7.0,23.0,2010,7.0,23.0,25.0,,,85.2920606019027
1212,2010,Technological,Technological,Transport accident,Road,Himachal Pradesh,,,,,,,2010,8.0,18.0,2010,8.0,18.0,37.0,25.0,,85.2920606019027
1213,2010,Technological,Technological,Transport accident,Road,Near Bhopal (Madhya Pradesh),,,,,,,2010,9.0,9.0,2010,9.0,9.0,31.0,40.0,,85.2920606019027
1214,2010,Technological,Technological,Transport accident,Water,Ballia district (Uttar Pradesh),,,,,,,2010,6.0,14.0,2010,6.0,14.0,47.0,17.0,,85.2920606019027
1215,2010,Technological,Technological,Transport accident,Water,Buxar district (Bihar state),,,,,,,2010,10.0,11.0,2010,10.0,11.0,47.0,,,85.2920606019027
1216,2010,Technological,Technological,Transport accident,Water,Bengale,,,,,,,2010,10.0,30.0,2010,10.0,30.0,50.0,,,85.2920606019027
1217,2010,Technological,Technological,Transport accident,Water,Bengal,,,,,,,2010,9.0,,2010,9.0,,20.0,,,85.2920606019027
1218,2010,Technological,Technological,Transport accident,Rail,,,,,,,,2010,1.0,2.0,2010,1.0,2.0,10.0,37.0,,85.2920606019027
1219,2010,Technological,Technological,Transport accident,Rail,Bengal,,,,,,,2010,7.0,19.0,2010,7.0,19.0,61.0,165.0,,85.2920606019027
1220,2010,Technological,Technological,Transport accident,Rail,Shivpuri district,,,,,,,2010,9.0,20.0,2010,9.0,20.0,22.0,50.0,,85.2920606019027
1221,2010,Technological,Technological,Miscellaneous accident,Collapse,Pratapgarth (Uttar Pradesh state),,,,,,,2010,3.0,4.0,2010,3.0,4.0,63.0,125.0,,85.2920606019027
1222,2010,Technological,Technological,Miscellaneous accident,Collapse,Uttarakhand,Heavy rains,,,,,,2010,8.0,18.0,2010,8.0,18.0,17.0,,,85.2920606019027
1223,2010,Technological,Technological,Miscellaneous accident,Collapse,New Delhi,,,,,,,2010,11.0,15.0,2010,11.0,15.0,100.0,105.0,,85.2920606019027
1224,2010,Technological,Technological,Miscellaneous accident,Other,Banka district (Bihar),,,,,,,2010,10.0,17.0,2010,10.0,17.0,10.0,15.0,,85.2920606019027
1225,2010,Technological,Technological,Miscellaneous accident,Fire,Kurung Kummey district (Arunachal Pradesh),,,,,,,2010,2.0,11.0,2010,2.0,11.0,12.0,8.0,,85.2920606019027
1226,2011,Natural,Geophysical,Earthquake,Ground movement,"Sikkim, West Bengal, Bihar, Assam, Meghalaya provinces",,,7.0,27.73,88.155,18:11,2011,9.0,18.0,2011,9.0,18.0,112.0,575200.0,,87.9846029188446
1227,2011,Natural,Meteorological,Storm,Convective storm,Uttar Pradesh province,,,,,,,2011,5.0,20.0,2011,5.0,20.0,42.0,50.0,,87.9846029188446
1228,2011,Natural,Hydrological,Flood,Riverine flood,West Bengal province,Mosnoonal rains,,28684.0,22.306,88.34,,2011,8.0,10.0,2011,9.0,13.0,47.0,700000.0,275000.0,87.9846029188446
1229,2011,Natural,Hydrological,Flood,Riverine flood,"Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jajpur, Jagatsinghpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur districts (Orissa province)",Monsoonal rains,,27751.0,20.651,86,,2011,9.0,23.0,2011,10.0,23.0,239.0,3443989.0,930000.0,87.9846029188446
1230,2011,Natural,Hydrological,Flood,Riverine flood,"Dhemaji district (Assam province), East Garo Hills, South Garo Hills, West Garo Hills districts (Meghalaya province)",Monsoonal rain,,50117.0,26.59,92.18,,2011,8.0,15.0,2011,9.0,8.0,7.0,11000.0,,87.9846029188446
1231,2011,Natural,Hydrological,Flood,Riverine flood,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Golaghat, Jorhat, Karbi Anglong, Sibsagar, Lakhimpur, Nagaon, Sonitpur districts, (Assam province), Begusarai, Bhagalpur, Bhojpur, Buxar, Gopalganj, Katihar, Khagaria, Kishanganj, Lakhisarai, Madhubani, Madhepura, Muzaffarpur, Patna, Purnia, Samastipur, Saran, Saharsa, Sitamarhi, Supaul, Vaishali, Pashchim Champaran districts (Bihar province), Azamgarh, Aligarh, Ambedkar Nagar, Badaun, Ballia, Bara Banki, Bahraich, Bareilly, Bijnor, Faizabad, Farrukhabad, Ghazipur, Gonda, Gorakhpur, Hardoi, Jyotiba Phule Nagar, Kannauj, Kanpur, Kushinagar, Lakhimpur Kheri, Meerut, Muzaffarnagar, Moradabad, Pilibhit, Rampur, Shahjahanpur, Sitapur, Unnao districts (Uttar Pradesh province)",Monsoonal rain,,40941.0,26.376,86.24,,2011,8.0,15.0,2011,10.0,2.0,204.0,5549080.0,,87.9846029188446
1232,2011,Natural,Hydrological,Flood,Riverine flood,"Gonda, Balrampur, Faizabad, Bara Banki districts (Uttar Pradesh province), Rajasthan province","Monsoonal rains, dam releases",,85509.0,28.524,80.93,,2011,7.0,23.0,2011,8.0,9.0,19.0,200000.0,,87.9846029188446
1233,2011,Natural,Meteorological,Extreme temperature,Cold wave,"Delhi province, Allahabad, Pratapgarh, Jaunpur, Bara Banki districts (Uttar Pradesh province), Sundernagar city (Mandi district, Himachal Pradesh province), Bhuntar city (Kullu district, Himachal Pradesh province), Shimla, Solan districts (Himachal Pradesh province), Leh city ('40422' Jammu and Kashmir province), Qazigund city ('40425' Jammu and Kashmir province), Bihar province",,,-20.0,,,,2011,1.0,1.0,2011,1.0,18.0,80.0,,,87.9846029188446
1234,2011,Technological,Technological,Transport accident,Air,Twang district (near Chinese border),,,,,,,2011,4.0,19.0,2011,4.0,19.0,18.0,5.0,,87.9846029188446
1235,2011,Technological,Technological,Transport accident,Air,Faridabad (near Delhi),,,,,,,2011,5.0,26.0,2011,5.0,26.0,10.0,,,87.9846029188446
1236,2011,Technological,Technological,Transport accident,Road,Near Dehradun (Uttarakhand state),,,,,,,2011,1.0,5.0,2011,1.0,5.0,22.0,19.0,,87.9846029188446
1237,2011,Technological,Technological,Transport accident,Road,Kamrup district,,,,,,,2011,5.0,30.0,2011,5.0,30.0,28.0,10.0,,87.9846029188446
1238,2011,Technological,Technological,Transport accident,Road,Kanshiramnagar (Uttar Pradesh),,,,,,,2011,7.0,7.0,2011,7.0,7.0,35.0,39.0,,87.9846029188446
1239,2011,Technological,Technological,Transport accident,Rail,"Fatehpur, near Lucknow (Uttar Pradesh)",,,,,,,2011,7.0,10.0,2011,7.0,10.0,68.0,100.0,2000.0,87.9846029188446
1240,2011,Technological,Technological,Miscellaneous accident,Collapse,Near Darjeeling,,,,,,,2011,10.0,22.0,2011,10.0,23.0,32.0,,,87.9846029188446
1241,2011,Technological,Technological,Miscellaneous accident,Other,Sabarimala (Kerala state),,,,,,,2011,1.0,14.0,2011,1.0,14.0,100.0,75.0,,87.9846029188446
1242,2011,Natural,Meteorological,Storm,Convective storm,Karnataka province,,,,,,,2011,4.0,15.0,2011,4.0,15.0,17.0,,,87.9846029188446
1243,2011,Natural,Hydrological,Flood,Riverine flood,Orissa province,Monsoonal rains,,,,,,2011,9.0,5.0,2011,9.0,15.0,42.0,2100000.0,432000.0,87.9846029188446
1244,2011,Natural,Hydrological,Flood,Riverine flood,"Uttar Pradesh, Uttarakhand province",Heavy monsoonal rains,,,,,,2011,6.0,15.0,2011,7.0,16.0,50.0,,20000.0,87.9846029188446
1245,2011,Natural,Meteorological,Storm,Tropical cyclone,"Cuddalore district (Tamil Nadu province), Puducherry district (Puducherry province)",,,140.0,,,,2011,12.0,29.0,2011,12.0,30.0,47.0,250000.0,375625.0,87.9846029188446
1246,2011,Natural,Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Punjab, Haryana provinces",,,,,,,2011,12.0,16.0,2011,12.0,31.0,132.0,,,87.9846029188446
1247,2011,Technological,Technological,Transport accident,Rail,Chennai,,,,,,,2011,9.0,13.0,2011,9.0,13.0,10.0,52.0,,87.9846029188446
1248,2011,Technological,Technological,Miscellaneous accident,Other,Haridwar,,,,,,,2011,11.0,8.0,2011,11.0,8.0,16.0,46.0,,87.9846029188446
1249,2011,Technological,Technological,Miscellaneous accident,Fire,New Delhi,,,,,,,2011,11.0,20.0,2011,11.0,20.0,14.0,40.0,,87.9846029188446
1250,2011,Technological,Technological,Miscellaneous accident,Fire,Calcutta,,,,,,,2011,12.0,9.0,2011,12.0,9.0,89.0,90.0,,87.9846029188446
1251,2011,Technological,Technological,Miscellaneous accident,Fire,Naisingpara,,,,,,,2011,3.0,19.0,2011,3.0,19.0,15.0,10.0,,87.9846029188446
1252,2012,Natural,Meteorological,Storm,Tropical cyclone,"Andhra Pradesh, Tamil Nadu provinces",,,,11.82,78.08,,2012,11.0,4.0,2012,11.0,8.0,40.0,70000.0,,89.8052929320648
1253,2012,Natural,Hydrological,Flood,Riverine flood,"Anjaw (70044), Lohit, Changlang, 70045, 70050, Lower Dibang Valley, East Siang, Upper Siang (70051) districts (Arunachal Pradesh province), Assam province",Monsoonal rain,2700.0,254935.0,26.5659,92.44,,2012,6.0,26.0,2012,7.0,13.0,120.0,2200000.0,,89.8052929320648
1254,2012,Natural,Hydrological,Flood,Riverine flood,"Palchan village (Kullu district, Himachal Pradesh province), Uttarkashi, Rudra Prayag, Chamoli districts (Uttarakhand province), Moradabad district (Uttar Pradesh province), Kathua village (72780 district, Jammu and Kashmir province)",Torrential rain,,31390.0,30.1135,78.85,,2012,8.0,4.0,2012,8.0,9.0,30.0,1200.0,110000.0,89.8052929320648
1255,2012,Natural,Hydrological,Flood,Riverine flood,"Rudra Prayag, Bageshwar districts (Uttarakhand province)",Heavy rains,,37710.0,31.3,76.85,,2012,9.0,16.0,2012,9.0,18.0,45.0,200.0,20000.0,89.8052929320648
1256,2012,Natural,Hydrological,Flood,Riverine flood,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Lakhimpur, Marigaon, Nagaon, Nalbari, Papum Pare, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Bhagalpur, Darbhanga, Katihar, Khagaria, Muzaffarpur, Patna, Siwan, Supaul districts (Bihar province), Sahibganj district (Jharkhand province), North Sikkim district (Sikkim province), Ballia, Bara Banki, Faizabad districts (Uttar Pradesh province), Murshidabad district (West Bengal province), West Siang, East Siang, Lohit, Papum Pare districts (Arunachal Pradesh province)",Monsoonal rains,,42597.0,26.8,93.63,,2012,9.0,19.0,2012,9.0,23.0,21.0,2000000.0,98000.0,89.8052929320648
1257,2012,Natural,Hydrological,Flood,Riverine flood,Himachel Pradesh province,,,,,,,2012,8.0,21.0,2012,8.0,23.0,26.0,9460.0,16000.0,89.8052929320648
1258,2012,Natural,Geophysical,Mass movement (dry),Avalanche,Adminitrative unit not available districts (Jammu and Kashmir province),,,,,,,2012,2.0,23.0,2012,2.0,23.0,16.0,,,89.8052929320648
1259,2012,Natural,Hydrological,Flood,Riverine flood,"Jaipur, Dhaulpur, Dausa, Tonk, Jhunjhunun, Sikar, Hanumangarh, Bikaner districts (Rajasthan province), Anjaw (70044), 70045, 70050, Lower Dibang Valley, Upper Siang (70051) districts (Arunachal Pradesh province)",Heavy rains,,,,,,2012,8.0,21.0,2012,8.0,23.0,37.0,,,89.8052929320648
1260,2012,Natural,Meteorological,Extreme temperature,Cold wave,"Karimnagar, Vishakhapatnam, Guntur districts (Andhra Pradesh province)",,,,,,,2012,1.0,15.0,2012,1.0,17.0,15.0,,,89.8052929320648
1261,2012,Natural,Meteorological,Extreme temperature,Cold wave,"Bihar, Haryana, Himachal Pradesh, Jammu and Kashmir, Punjab, Rajasthan, Uttar Pradesh provinces",,,,,,,2012,12.0,22.0,2013,1.0,20.0,249.0,,,89.8052929320648
1262,2012,Technological,Technological,Transport accident,Road,Near Dehradun (Uttarakhand state),,,,,,,2012,8.0,1.0,2012,8.0,1.0,27.0,25.0,,89.8052929320648
1263,2012,Technological,Technological,Transport accident,Road,Haryana state,,,,,,,2012,7.0,30.0,2012,7.0,30.0,29.0,,,89.8052929320648
1264,2012,Technological,Technological,Transport accident,Road,Himachal Pradesh,,,,,,,2012,8.0,11.0,2012,8.0,11.0,52.0,45.0,,89.8052929320648
1265,2012,Technological,Technological,Transport accident,Road,Meghalaya state,,,,,,,2012,8.0,8.0,2012,8.0,8.0,31.0,27.0,,89.8052929320648
1266,2012,Technological,Technological,Transport accident,Road,Cachemire,,,,,,,2012,7.0,26.0,2012,7.0,26.0,16.0,16.0,,89.8052929320648
1267,2012,Technological,Technological,Transport accident,Water,Assam state,,,,,,,2012,4.0,30.0,2012,4.0,30.0,205.0,150.0,,89.8052929320648
1268,2012,Technological,Technological,Transport accident,Rail,Penneconda (Andhra Pradesh state),,,,,,,2012,5.0,22.0,2012,5.0,22.0,14.0,30.0,,89.8052929320648
1269,2012,Technological,Technological,Industrial accident,Fire,Sivakasi,,,,,,,2012,9.0,5.0,2012,9.0,5.0,38.0,40.0,,89.8052929320648
1270,2012,Technological,Technological,Industrial accident,Other,Shillong (Meghalaya state),,,,,,,2012,7.0,12.0,2012,7.0,12.0,15.0,,,89.8052929320648
1271,2013,Natural,Meteorological,Storm,Tropical cyclone,"Orissa, Andhra Pradesh, Jharkhand, Bihar, West Bengal, Chhattisgarh provinces",,,200.0,,,,2013,10.0,12.0,2013,10.0,14.0,47.0,13230000.0,633471.0,91.1207940325185
1272,2013,Natural,Hydrological,Flood,Riverine flood,"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",Monsoonal rain,,131743.0,32.714,76.61,,2013,6.0,12.0,2013,6.0,27.0,6054.0,504473.0,1100000.0,91.1207940325185
1273,2013,Natural,Meteorological,Storm,Tropical cyclone,"Krishna, Guntur, East Godavari, West Godavari, Vishakhapatnam districts (Andhra Pradesh province)",,,65.0,,,,2013,11.0,22.0,2013,11.0,22.0,10.0,,262000.0,91.1207940325185
1274,2013,Natural,Meteorological,Storm,Convective storm,"Bihar, Jharkhand provinces",,,,,,,2013,10.0,5.0,2013,10.0,6.0,32.0,,,91.1207940325185
1275,2013,Natural,Meteorological,Storm,Convective storm,Uttar Pradesh province,,,,,,,2013,3.0,29.0,2013,3.0,30.0,9.0,,,91.1207940325185
1276,2013,Natural,Geophysical,Earthquake,Ground movement,Administrive unit not available district (Jammu and Kashmir province),,,6.0,33.061,75.863,12:27,2013,5.0,1.0,2013,5.0,1.0,3.0,59350.0,120000.0,91.1207940325185
1277,2013,Natural,Hydrological,Flood,Riverine flood,"Sultanpur, Sitapur, Rae Bareli, Bara Banki, Faizabad, Gorakhpur, Basti, Kushinagar, Bahraich, Gonda, Shravasti districts (Uttar Pradesh province)",Monsoon rains,,,,,,2013,7.0,9.0,2013,7.0,10.0,174.0,500000.0,2000.0,91.1207940325185
1278,2013,Natural,Hydrological,Flood,Riverine flood,"Bhopal, Hoshangabad, Seoni, Narsinghpur, Jabalpur districts (Madhya Pradesh province), Uttar Pradesh, Assam provinces",Monsoon rains,,,,,,2013,8.0,22.0,2013,8.0,27.0,73.0,40000.0,,91.1207940325185
1279,2013,Natural,Hydrological,Flood,Riverine flood,"Orissa, Andhra Pradesh, West Bengal provinces",Monsoonal rain,,,,,,2013,10.0,21.0,2013,10.0,26.0,72.0,375000.0,260000.0,91.1207940325185
1280,2013,Natural,Meteorological,Storm,Tropical cyclone,Andhra Pradesh province,,,,,,,2013,5.0,16.0,2013,5.0,16.0,8.0,4.0,,91.1207940325185
1281,2013,Natural,Meteorological,Extreme temperature,Heat wave,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",,,46.0,,,,2013,4.0,1.0,2013,5.0,30.0,557.0,,,91.1207940325185
1282,2013,Technological,Technological,Transport accident,Air,Uttarakhand,,,,,,,2013,6.0,26.0,2013,6.0,26.0,20.0,,,91.1207940325185
1283,2013,Technological,Technological,Transport accident,Road,Jaheer (Punjab),,,,,,,2013,3.0,4.0,2013,3.0,4.0,11.0,,,91.1207940325185
1284,2013,Technological,Technological,Transport accident,Road,Maharashtra state,,,,,,,2013,3.0,19.0,2013,3.0,19.0,32.0,,,91.1207940325185
1285,2013,Technological,Technological,Transport accident,Road,Etah department (Uttar Pradesh state),,,,,,,2013,5.0,27.0,2013,5.0,27.0,19.0,23.0,,91.1207940325185
1286,2013,Technological,Technological,Transport accident,Road,North,,,,,,,2013,5.0,20.0,2013,5.0,20.0,33.0,,,91.1207940325185
1287,2013,Technological,Technological,Transport accident,Road,Bawankera village (Chhattisgarth state),,,,,,,2013,11.0,25.0,2013,11.0,25.0,12.0,20.0,,91.1207940325185
1288,2013,Technological,Technological,Transport accident,Road,Between Bangalore and Hyderabad,,,,,,,2013,10.0,30.0,2013,10.0,30.0,44.0,,,91.1207940325185
1289,2013,Technological,Technological,Transport accident,Water,Bengal,,,,,,,2013,6.0,14.0,2013,6.0,14.0,27.0,,,91.1207940325185
1290,2013,Technological,Technological,Transport accident,Water,Bombay,,,,,,,2013,7.0,14.0,2013,7.0,14.0,18.0,,,91.1207940325185
1291,2013,Technological,Technological,Transport accident,Rail,Bihar state,,,,,,,2013,8.0,19.0,2013,8.0,19.0,37.0,24.0,,91.1207940325185
1292,2013,Technological,Technological,Transport accident,Rail,Andhra Pradesh state,,,,,,,2013,12.0,28.0,2013,12.0,28.0,26.0,12.0,,91.1207940325185
1293,2013,Technological,Technological,Miscellaneous accident,Collapse,Bombay,,,,,,,2013,2.0,4.0,2013,2.0,4.0,72.0,69.0,,91.1207940325185
1294,2013,Technological,Technological,Miscellaneous accident,Collapse,Mumbai,,,,,,,2013,9.0,27.0,2013,9.0,27.0,61.0,32.0,,91.1207940325185
1295,2013,Technological,Technological,Miscellaneous accident,Other,Datia district (Mahya Pradesh state),,,,,,,2013,10.0,13.0,2013,10.0,13.0,109.0,133.0,,91.1207940325185
1296,2013,Technological,Technological,Miscellaneous accident,Fire,Calcutta,,,,,,,2013,2.0,27.0,2013,2.0,27.0,19.0,19.0,,91.1207940325185
1297,2013,Natural,Hydrological,Flood,,"Dhemaji, Tinsukia, Nagaon, Golaghat, Jorhat, Kamrup, Karimganj, Lakhimpur, Morigaon, Sibsaga, Bongaigaon, Kokrajhar districts (Assam province)",Monsoonal rain,,38019.0,27.387,94.92,,2013,6.0,23.0,2013,7.0,15.0,80.0,2000000.0,,91.1207940325185
1298,2014,Natural,Meteorological,Storm,Convective storm,"Doda, Bhaderwah, Thathri, Gandoh, Bhallessa villages (Kishtwar (72809) district, Jammu and Kashmir (40427) province), Kora Pani, Tangdhar villages (Kupwara (72786) district, Jumma and Kashmir (40431) province)",,,,,,,2014,3.0,10.0,2014,3.0,12.0,17.0,9610.0,,92.5989805737934
1299,2014,Natural,Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",,,-9.0,,,,2014,1.0,20.0,2014,1.0,24.0,24.0,,,92.5989805737934
1300,2014,Technological,Technological,Transport accident,Road,Thane district (Maharashtra state),,,,,,,2014,1.0,2.0,2014,1.0,2.0,27.0,17.0,,92.5989805737934
1301,2014,Technological,Technological,Transport accident,Water,"Near Port Blair (Andaman, Nocobar Islands)",,,,,,,2014,1.0,26.0,2014,1.0,26.0,22.0,9.0,,92.5989805737934
1302,2014,Technological,Technological,Transport accident,Rail,Raigad district (West of India),,,,,,,2014,5.0,4.0,2014,5.0,4.0,18.0,124.0,,92.5989805737934
1303,2014,Technological,Technological,Miscellaneous accident,Other,Near Bombay,,,,,,,2014,1.0,18.0,2014,1.0,18.0,18.0,56.0,,92.5989805737934
1304,2014,Natural,Meteorological,Storm,Convective storm,Hyderabad district (Andhra Pradesh province),,,,,,,2014,3.0,6.0,2014,3.0,7.0,7.0,1928.0,,92.5989805737934
1305,2014,Natural,Meteorological,Extreme temperature,Severe winter conditions,"Himachal Pradesh, Uttarakhand, Uttar Pradesh provinces",,,,,,,2014,12.0,17.0,2014,12.0,18.0,140.0,,,92.5989805737934
1306,2014,Natural,Hydrological,Flood,Riverine flood,"Shravasti, Balrampur, Sitapur, Lakhimpur Kheri, Gonda, Bara Banki, Faizabad, Azamgarh districts (Uttar Pradesh province), Uttarakhand, Bihar, Assam provinces","Heavy rains, overflowing rivers after dam opening in Nepal",,,,,,2014,8.0,16.0,2014,9.0,1.0,94.0,500000.0,,92.5989805737934
1307,2014,Natural,Hydrological,Flood,Riverine flood,Assam province,Heavy monsoonal rain,,49220.0,,,,2014,6.0,26.0,2014,6.0,28.0,27.0,18500.0,2000.0,92.5989805737934
1308,2014,Natural,Hydrological,Flood,Riverine flood,Jammu and Kashmir provinces,Monsoonal rain,,,,,,2014,9.0,,2014,9.0,,298.0,275000.0,16000000.0,92.5989805737934
1309,2014,Natural,Hydrological,Flood,Riverine flood,"Tura village (West Garo Hills district, Meghalaya province), Goalpara, Kamrup districts (Assam province)",Torrential monsoonal rains; Typhoon Kalmaegi,,61895.0,,,,2014,9.0,24.0,2014,10.0,11.0,95.0,650000.0,163000.0,92.5989805737934
1310,2014,Technological,Technological,Miscellaneous accident,Other,"Beas River, Kullu valley, Himachal Pradesh state",Water released from hydroelectric dam,,,,,,2014,6.0,8.0,2014,6.0,8.0,25.0,,,92.5989805737934
1311,2014,Natural,Meteorological,Storm,Tropical cyclone,"Vishakhapatnam, Gangavaram towns (Vishakhapatnam district, Andhra Pradesh province), Baragarh, Bolangir, Boudh, Gajapati, Ganjam, Kalahandi, Kandhamal, Khordha, Koraput, Malkangiri, Nabarangpur, Nayagarh, Nuapada, Puri, Rayagada, Sonepur districts (Orissa province), Chhattisgarh province",,,215.0,,,,2014,10.0,12.0,2014,10.0,12.0,53.0,920000.0,7000000.0,92.5989805737934
1312,2014,Natural,Meteorological,Storm,Convective storm,"Ghaziabad district (Utar Pradesh province), Delhi, West Bengal provinces",,,,,,,2014,5.0,30.0,2014,5.0,31.0,15.0,26.0,,92.5989805737934
1313,2014,Natural,Hydrological,Flood,Riverine flood,"Uttarakhand, Himachal Pradesh provinces",Excessive rainfall,,,,,,2014,7.0,16.0,2014,7.0,22.0,26.0,,,92.5989805737934
1314,2014,Natural,Hydrological,Flood,Riverine flood,Orissa province,Torrential monsoonal rain,,,,,,2014,8.0,3.0,2014,8.0,4.0,35.0,179000.0,200000.0,92.5989805737934
1315,2014,Natural,Hydrological,Flood,Riverine flood,Odisha province,,,,,,,2014,8.0,9.0,2014,8.0,16.0,47.0,3600000.0,100000.0,92.5989805737934
1316,2014,Natural,Hydrological,Landslide,Landslide,"Malin village (Pune district, Maharashtra province)",Monsoonal rains,,,,,,2014,7.0,30.0,2014,7.0,30.0,151.0,200.0,,92.5989805737934
1317,2014,Natural,Meteorological,Storm,Convective storm,Uttar Pradesh province,,,,,,,2014,4.0,17.0,2014,4.0,20.0,27.0,,,92.5989805737934
