,Year,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Location,Origin,Aid_Contribution,Dis_Mag_Value,Latitude,Longitude,Local Time,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,Total_Affected,Total_Damages_USD,CPI
929,2003,Technological,Technological,Transport accident,Road,"Paniara (near Calcutta, Bengal state)",,,,,,,2003,1.0,28.0,2003,1.0,28.0,36.0,25.0,,71.9550065545137
930,2003,Technological,Technological,Transport accident,Road,Tamil Nadu,,,,,,,2003,3.0,9.0,2003,3.0,9.0,17.0,13.0,,71.9550065545137
931,2003,Technological,Technological,Transport accident,Rail,Near Ghatnandur (Maharashtra state),,,,,,,2003,1.0,2.0,2003,1.0,2.0,18.0,50.0,,71.9550065545137
932,2003,Technological,Technological,Miscellaneous accident,Fire,Delhi,,,,,,,2003,3.0,18.0,2003,3.0,18.0,9.0,2500.0,,71.9550065545137
933,2003,Natural,Meteorological,Storm,,Betul district (Madhya Pradesh province),,,,,,,2003,2.0,17.0,2003,2.0,17.0,20.0,200.0,,71.9550065545137
934,2003,Natural,Hydrological,Flood,Flash flood,"Solang village (Kullu district, Himachal Pradesh)",,,,,,,2003,8.0,7.0,2003,8.0,7.0,43.0,15.0,,71.9550065545137
935,2003,Natural,Hydrological,Flood,Flash flood,Kullu district (Himachal Pradesh province),Torrential rain,,,,,,2003,7.0,16.0,2003,7.0,16.0,150.0,30.0,,71.9550065545137
936,2004,Natural,Hydrological,Flood,Flash flood,"Goalpara district (Assam province), Meghalaya, Arunachal Pradesh, West Bengal provinces",Heavy rains,,,,,,2004,10.0,7.0,2004,10.0,18.0,160.0,100000.0,,73.8814124374447
937,2004,Natural,Geophysical,Earthquake,Tsunami,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Earthquake,,9.0,3.295,95.982,,2004,12.0,26.0,2004,12.0,26.0,16389.0,654512.0,1022800.0,73.8814124374447
938,2004,Natural,Hydrological,Flood,Flash flood,"Uttar Pradesh, Himachal Pradesh provinces",Torrential rain,,,,,,2004,9.0,20.0,2004,9.0,22.0,33.0,,,73.8814124374447
939,2003,Natural,Meteorological,Storm,Tropical cyclone,"Krishna, Guntur, West Godavari districts (Andhra Pradesh province)",,,100.0,,,,2003,12.0,17.0,2003,12.0,17.0,50.0,40000.0,28000.0,71.9550065545137
940,2003,Natural,Meteorological,Storm,Tropical cyclone,"Chirakhawa, Chirakhawa Topopara, Peepulbari part 1, Peepulbari part 2, Bhurakata, Baliabeel, Bengerbhita, Baushkata areas (Dhuburi district, Assam province)",,,100.0,,,,2003,4.0,22.0,2003,4.0,22.0,45.0,4600.0,,71.9550065545137
941,2003,Natural,Meteorological,Extreme temperature,Heat wave,"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",,,49.0,,,,2003,5.0,14.0,2003,6.0,6.0,1210.0,,400000.0,71.9550065545137
942,2003,Natural,Hydrological,Flood,Riverine flood,"Assam, Bihar, Tripura, West Bengal provinces",Mousson rains,79.0,,,,,2003,6.0,11.0,2003,10.0,10.0,142.0,4550000.0,,71.9550065545137
943,2003,Natural,Hydrological,Flood,Riverine flood,"Khavda, Banni, Natkharana, Lakhpat villages (Kachchh district, Gujarat province)",Monsoon rains,,,,,,2003,7.0,15.0,2003,9.0,1.0,13.0,14500.0,,71.9550065545137
944,2003,Natural,Hydrological,Flood,Riverine flood,"Cuttack, Jagatsinghpur, Kendrapara, Jajpur, Puri, Bolangir, Sonepur, Kalahandi, Rayagada, Gajapati, Baragarh, Koraput, Nayagarh, Ganjam, Angul districts (Orissa province)",Monsoonal rain,,117900.0,,,,2003,8.0,27.0,2003,10.0,20.0,67.0,3000000.0,169000.0,71.9550065545137
945,2003,Natural,Hydrological,Flood,Riverine flood,Uttar Pradesh province,Hevay rains,,,,,,2003,9.0,10.0,2003,9.0,10.0,37.0,,,71.9550065545137
946,2003,Natural,Hydrological,Landslide,Avalanche,Administrative unit not available district (Jammu and Kashmir province),,,,,,,2003,3.0,3.0,2003,3.0,3.0,25.0,,,71.9550065545137
947,2003,Natural,Meteorological,Storm,Tropical cyclone,"Mekhliganj, Haldibari, Fukaldabri, Nijtaraf, Kasiabari, Bholarhat, Beltali areas (Kochbihar district, West Bengal province)",,,,,,,2003,4.0,12.0,2003,4.0,12.0,,460.0,,71.9550065545137
948,2003,Natural,Meteorological,Extreme temperature,Cold wave,"Uttar Pradesh, Himachal Pradesh, Haryana, Jammu and Kashmir provinces",,,,,,,2003,12.0,15.0,2004,1.0,,400.0,,,71.9550065545137
949,2003,Natural,Biological,Epidemic,Viral disease,Delhi,,,,,,,2003,6.0,1.0,2003,11.0,9.0,,2185.0,,71.9550065545137
950,2003,Technological,Technological,Transport accident,Air,Near Bombay,,,,,,,2003,8.0,11.0,2003,8.0,11.0,27.0,4.0,,71.9550065545137
951,2003,Technological,Technological,Transport accident,Road,"Retam river, Mandsaur district (Madhya Pradesh State)",,,,,,,2003,6.0,26.0,2003,6.0,26.0,43.0,7.0,,71.9550065545137
952,2003,Technological,Technological,Transport accident,Road,Satara district,,,,,,,2003,11.0,1.0,2003,11.0,1.0,24.0,30.0,,71.9550065545137
953,2003,Technological,Technological,Transport accident,Road,Chamba district (Himachal Pradesh),,,,,,,2003,12.0,2.0,2003,12.0,2.0,34.0,30.0,,71.9550065545137
954,2003,Technological,Technological,Transport accident,Road,"Magarkote area (72808 district, 40424 Jammu and Kashmir province)",,,,,,,2003,12.0,7.0,2003,12.0,7.0,22.0,14.0,,71.9550065545137
955,2003,Technological,Technological,Transport accident,Road,"Thathri village (""40427"" Jammu and Kashmir province)",,,,,,,2003,7.0,24.0,2003,7.0,24.0,20.0,6.0,,71.9550065545137
956,2003,Technological,Technological,Transport accident,Road,"Doda area (""40427"" Jammu and Kashmir province)",,,,,,,2003,7.0,13.0,2003,7.0,13.0,24.0,24.0,,71.9550065545137
957,2003,Technological,Technological,Transport accident,Road,Angara (Jharkhand),,,,,,,2003,6.0,16.0,2003,6.0,16.0,21.0,40.0,,71.9550065545137
958,2003,Technological,Technological,Transport accident,Water,"Gujarat river (Bharuch district, Gujarat satet)",,,,,,,2003,4.0,5.0,2003,4.0,5.0,17.0,25.0,,71.9550065545137
959,2003,Technological,Technological,Transport accident,Water,Near Jauri (Bihar state),Overloaded boat,,,,,,2003,9.0,2.0,2003,9.0,2.0,50.0,40.0,,71.9550065545137
960,2003,Technological,Technological,Transport accident,Water,Singhi Ghat (Bihar),,,,,,,2003,12.0,1.0,2003,12.0,1.0,28.0,,,71.9550065545137
961,2003,Technological,Technological,Transport accident,Water,Nagayalanka Island,,,,,,,2003,10.0,7.0,2003,10.0,7.0,29.0,,,71.9550065545137
962,2003,Technological,Technological,Transport accident,Water,Kishanganj (Bihar),Overcroweded boat,,,,,,2003,8.0,11.0,2003,8.0,11.0,40.0,,,71.9550065545137
963,2003,Technological,Technological,Transport accident,Rail,Near Nonapaar station (Uttar Pradesh),,,,,,,2003,3.0,30.0,2003,3.0,30.0,11.0,8.0,,71.9550065545137
964,2003,Technological,Technological,Transport accident,Rail,Near Ludhiana,,,,,,,2003,5.0,15.0,2003,5.0,15.0,40.0,20.0,,71.9550065545137
965,2003,Technological,Technological,Transport accident,Rail,Rajapur (Maharahstra state),,,,,,,2003,6.0,22.0,2003,6.0,22.0,51.0,25.0,,71.9550065545137
966,2003,Technological,Technological,Transport accident,Rail,Warangal (Andhra Pradesh),,,,,,,2003,7.0,2.0,2003,7.0,2.0,21.0,,,71.9550065545137
967,2003,Technological,Technological,Industrial accident,Explosion,Surat (Gujarat),,,,,,,2003,8.0,3.0,2003,8.0,3.0,43.0,27.0,,71.9550065545137
968,2003,Technological,Technological,Industrial accident,Explosion,Kukatpally (Andhra Pradesh),,,,,,,2003,11.0,25.0,2003,11.0,25.0,10.0,,,71.9550065545137
969,2003,Technological,Technological,Industrial accident,Fire,Ludhiana (Punjab),,,,,,,2003,5.0,10.0,2003,5.0,10.0,12.0,70.0,,71.9550065545137
970,2003,Technological,Technological,Industrial accident,Other,Godavarikhani (Karimnagar district),,,,,,,2003,6.0,16.0,2003,6.0,16.0,17.0,,,71.9550065545137
971,2003,Technological,Technological,Miscellaneous accident,Collapse,Dhubri district,,,,,,,2003,5.0,26.0,2003,5.0,26.0,12.0,20.0,,71.9550065545137
972,2003,Technological,Technological,Miscellaneous accident,Collapse,Daman,,,,,,,2003,8.0,28.0,2003,8.0,28.0,25.0,20.0,,71.9550065545137
973,2003,Technological,Technological,Industrial accident,Collapse,Near Godavarikhani (Karaimnagar district),,,,,,,2003,10.0,16.0,2003,10.0,16.0,12.0,2.0,,71.9550065545137
974,2003,Technological,Technological,Miscellaneous accident,Other,Nasik (Maharashtra),,,,,,,2003,8.0,27.0,2003,8.0,27.0,39.0,125.0,,71.9550065545137
975,2003,Technological,Technological,Miscellaneous accident,Fire,Dalgaon,,,,,,,2003,11.0,6.0,2003,11.0,6.0,21.0,,,71.9550065545137
